"","HUC_12","Pct_Land","Shape_Length","Shape_Area"
"132","010100041113",97.7176794242838,88116.5708165103,152437066.767349
"133","010100050101",100,37522.5614969759,51740571.9210663
"134","010100050102",99.4495660183778,73570.2737287471,120171533.989853
"135","010100050201",99.8678988547454,88808.2270712103,158724584.845582
"136","010100050202",99.5959392903809,40779.3697613127,44782791.1875728
"137","010100050203",99.4260100380492,95036.3547694715,166019543.77966
"138","010100050301",90.2297212563416,33791.5096349763,47373579.9767768
"139","010100050302",98.8608031534861,59707.6552930649,91338445.7686206
"140","010100050303",98.3603580508022,59469.9740498483,84258076.4860998
"141","010100050304",99.9555169136826,45083.575840647,44507346.5511849
"142","010100050305",99.7423455809181,75907.8668948126,116677479.130269
"143","010100050306",99.3388209713563,50018.924351558,40566340.2743544
"144","010100050307",99.6669270940417,87539.6914065643,109424613.467879
"145","010100050308",99.7737556561086,39200.1242798661,25474297.0417079
"146","010100060101",95.3143402833042,38875.9399272217,56548477.8350963
"147","010100060102",96.1503396759109,45168.2879670764,61201605.3661085
"148","010100060103",99.9090176752121,46501.6470112552,94964489.1090874
"149","010100060104",97.6390912524958,106405.645625752,233503919.484601
"150","010100060105",99.4442790513049,42373.7646607381,54404933.3339588
"151","010100060106",96.3886367158958,38890.9431685559,40664449.6749243
"152","010100060107",99.2574701538886,55036.7031756573,65188891.1113203
"153","010100060108",100,85669.6789916635,131475769.870307
"154","010100060109",99.7670479662642,84744.4029017103,181201214.731427
"155","010100060201",99.2813721233174,50732.6075261335,41440978.4287618
"156","010100060202",99.9780781877969,47398.316196322,49269801.9002723
"157","010100060203",99.8445413971215,33391.9491241567,17958553.7579068
"158","010100060204",99.9885710444048,57311.5986792415,133870054.458827
"159","010100060205",99.9787393556906,53071.4675113773,80417780.9634458
"160","010100060206",100,33021.0518947942,54803575.8619482
"161","010100060207",99.9941664317035,54746.3801521495,92563905.7798691
"162","010100060208",99.0506799647722,98672.0140452582,157366324.51691
"163","010100060305",95.2186489705632,18449.1136187064,15870460.1073522
"164","010100060306",100,14190.6138184461,5310382.5395097
"165","010100060307",99.8604326587578,7070.4455837313,1291099.83985356
"166","010100060312",99.9052769884193,30624.5001907173,29457836.8400097
"167","010100060313",98.9972957586109,64144.4343092758,126470643.467572
"168","010100070101",98.385966989276,53067.0911845422,91245702.1163678
"169","010100070102",99.5762003858247,45888.8799113367,59242592.6080599
"170","010100070103",98.6534487450083,53866.1312233679,122380497.545215
"171","010100070204",100,6899.34900750732,2497745.32737775
"172","010100070205",99.977292338435,24137.1859399815,19818180.8329072
"173","010100070206",94.4233930511827,46612.6500633817,64578027.5646501
"174","010100070207",99.9748467941096,38903.6146059405,39356415.5594391
"175","010100070208",99.8089925928583,60231.5171854266,100373220.877076
"176","010100070209",99.4121813779906,54867.8742762334,85135728.7384619
"177","010100070301",99.9882332176266,24801.5513790953,15289524.1350088
"178","010100070302",99.9507995079951,27056.2558519107,14628591.5417896
"179","010100070303",99.9598353248318,38070.639162895,44806874.6547683
"180","010100070304",99.9989638379443,52089.2919142046,86868279.8579279
"181","010100070305",99.941584382302,54931.0413736532,95521923.1892063
"182","010100070306",98.7278055835728,65730.5866768866,94579158.5430799
"183","010100070401",99.5625616390418,35716.4017496037,56593600.9316504
"184","010100070402",97.9808543158233,38049.2728076167,55947927.1171449
"185","010100070403",99.147573838976,61288.7196173164,138287625.536299
"186","010100070404",98.3468809073724,61888.8029072366,95226826.8197821
"187","010100070405",98.2007567326953,49972.6470035651,101090498.76885
"188","010100070502",79.0430622009569,5378.72195266312,937435.337967951
"189","010100070503",99.2888541742353,62493.5700388393,99100109.0038343
"190","010100070504",99.9939642684693,27718.4854882914,29821748.7508838
"191","010100070505",100,40010.4188089784,65123217.9108125
"192","010100070506",100,70022.5886653523,64964362.9171313
"193","010100070507",97.3044579477666,80814.4471955894,162053641.625519
"194","010100070601",99.9890626708958,14465.9568767627,8227760.09212109
"195","010100070602",99.9790838736666,19223.8767730178,17214077.1600144
"196","010100070603",99.9255308094628,33032.5675707714,51970557.6953739
"197","010100070604",100,27864.3539568978,31060526.7251974
"198","010100070605",99.9548388810669,44578.3654987717,67757752.3931764
"199","010100070606",99.8621027793951,50823.5016707241,58720157.3985848
"200","010100070607",99.8141502536598,79486.9745111045,161265898.179202
"201","010100070701",99.8688199110103,43917.0609749702,50772081.3971519
"202","010100070702",99.994695710598,43855.8885349449,50894090.9817544
